Race,Driver of the Day,Retirements,Safety Cars,Fastest Lap Winner,"Alonso, Fernando Pts","Bottas, Veltteri Pts","Gasly, Pierre Pts","Giovinazzi, Antonio Pts","Hamilton, Lewis Pts","Kubica, Robert Pts","Latifi, Nicholas Pts","LeClerc, Charles Pts","Mazepin, Nikita Pts","Norris, Lando Pts","Ocon, Esteban Pts","Perez, Sergio Pts","Raikkonen, Kimi Pts","Ricciardo, Daniel Pts","Russell, George Pts","Sainz, Carlos Pts","Schumacher, Mick Pts","Stroll, Lance Pts","Tsunoda, Yuki Pts","Verstappen, Max Pts","Vettel, Sebastian Pts","Alonso, Fernando Dis Pts","Bottas, Veltteri Dis Pts","Gasly, Pierre Dis Pts","Giovinazzi, Antonio Dis Pts","Hamilton, Lewis Dis Pts","Kubica, Robert Dis Pts","Latifi, Nicholas Dis Pts","LeClerc, Charles Dis Pts","Mazepin, Nikita Dis Pts","Norris, Lando Dis Pts","Ocon, Esteban Dis Pts","Perez, Sergio Dis Pts","Raikkonen, Kimi Dis Pts","Ricciardo, Daniel Dis Pts","Russell, George Dis Pts","Sainz, Carlos Dis Pts","Schumacher, Mick Dis Pts","Stroll, Lance Dis Pts","Tsunoda, Yuki Dis Pts","Verstappen, Max Dis Pts","Vettel, Sebastian Dis Pts","Alonso, Fernando QPos","Bottas, Veltteri QPos","Gasly, Pierre QPos","Giovinazzi, Antonio QPos","Hamilton, Lewis QPos","Kubica, Robert QPos","Latifi, Nicholas QPos","LeClerc, Charles QPos","Mazepin, Nikita QPos","Norris, Lando QPos","Ocon, Esteban QPos","Perez, Sergio QPos","Raikkonen, Kimi QPos","Ricciardo, Daniel QPos","Russell, George QPos","Sainz, Carlos QPos","Schumacher, Mick QPos","Stroll, Lance QPos","Tsunoda, Yuki QPos","Verstappen, Max QPos","Vettel, Sebastian QPos","Alonso, Fernando Laps","Bottas, Veltteri Laps","Gasly, Pierre Laps","Giovinazzi, Antonio Laps","Hamilton, Lewis Laps","Kubica, Robert Laps","Latifi, Nicholas Laps","LeClerc, Charles Laps","Mazepin, Nikita Laps","Norris, Lando Laps","Ocon, Esteban Laps","Perez, Sergio Laps","Raikkonen, Kimi Laps","Ricciardo, Daniel Laps","Russell, George Laps","Sainz, Carlos Laps","Schumacher, Mick Laps","Stroll, Lance Laps","Tsunoda, Yuki Laps","Verstappen, Max Laps","Vettel, Sebastian Laps"
03/28/2021 10:00 AM: Bahrain @ Bahrain International Circuit,"Perez, Sergio",4,2,"Bottas, Veltteri",0,16,0,0,25,-1,0,8,0,12,0,10,0,6,0,4,0,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,5,12,2,-1,17,4,20,7,16,11,14,6,15,8,19,10,13,1,18,32,56,52,55,56,-1,51,56,0,56,55,56,56,56,55,56,55,56,56,56,55
04/18/2021 08:00 AM: Italy @ Autodromo Enzo e Dino Ferrari,"Norris, Lando",4,2,"Hamilton, Lewis",1,0,6,0,19,-1,0,12,0,15,2,0,0,8,0,10,0,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,15,8,5,17,1,-1,14,4,19,7,9,2,16,6,12,11,18,10,20,3,13,63,30,63,62,63,-1,0,63,61,63,63,63,63,63,30,63,61,63,63,63,61
05/02/2021 08:00 AM: Portugal @ Portimao,"Perez, Sergio",1,1,"Bottas, Veltteri",4,16,1,0,25,-1,0,8,0,10,6,12,0,2,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,9,12,2,-1,18,8,20,7,6,4,15,16,11,5,19,17,14,3,10,66,66,66,65,66,-1,64,66,64,66,66,66,1,66,65,66,64,65,65,66,65
05/09/2021 08:00 AM: Spain @ Circuit de Barcelona-Catalunya,"Hamilton, Lewis",1,1,"Verstappen, Max",0,15,1,0,25,-1,0,12,0,4,2,10,0,8,0,6,0,0,0,19,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,3,12,14,1,-1,19,4,20,9,5,8,17,7,15,6,18,11,16,2,13,65,66,65,65,66,-1,65,66,64,65,65,66,65,66,65,66,64,65,6,66,65
05/23/2021 08:00 AM: Monaco @ Circuit de Monaco,"Vettel, Sebastian",1,0,"Hamilton, Lewis",0,0,8,1,7,-1,0,0,0,15,2,12,0,0,0,18,0,4,0,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,6,10,7,-1,18,1,19,4,11,9,14,12,15,4,-1,13,16,2,8,77,29,78,77,78,-1,77,-1,75,78,77,78,77,77,77,78,75,77,77,78,78
06/06/2021 07:00 AM: Azerbaijan @ Baku City Circuit,"Vettel, Sebastian",4,2,"Verstappen, Max",8,0,15,0,0,-1,0,12,0,10,0,25,1,2,0,4,0,0,6,0,18,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,10,4,-1,2,-1,16,1,18,6,12,7,14,13,15,5,17,-1,8,3,11,51,51,51,51,51,-1,51,51,51,51,3,51,51,51,48,51,51,29,51,45,51
06/20/2021 08:00 AM: France @ Circuit Paul Ricard,"Verstappen, Max",0,0,"Verstappen, Max",4,12,6,0,18,-1,0,0,0,10,0,15,0,8,0,0,0,1,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,13,2,-1,16,7,18,8,11,4,17,10,14,5,15,-1,-1,1,12,53,53,53,52,53,-1,52,52,52,53,52,53,52,53,52,53,52,53,52,53,53
06/27/2021 08:00 AM: Styria @ Red Bull Ring,"LeClerc, Charles",2,0,"Hamilton, Lewis",2,15,0,0,19,-1,0,6,0,10,0,12,0,0,0,8,0,4,1,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,15,3,-1,16,7,20,4,17,5,18,13,11,12,19,10,8,1,14,70,71,1,70,71,-1,68,70,68,70,70,71,70,70,36,70,69,70,70,71,70
07/04/2021 08:00 AM: Austria @ Red Bull Ring,"Norris, Lando",3,1,"Verstappen, Max",1,18,2,0,12,-1,0,4,0,15,0,8,0,6,0,10,0,0,0,26,0,0,0,0,2,0,0,3,0,3,2,0,4,2,0,0,0,0,0,2,0,1,13,5,6,15,4,-1,18,12,20,2,17,3,16,13,9,11,19,10,7,1,8,70,71,71,70,71,-1,70,71,69,71,0,71,70,71,70,71,69,70,70,71,69
07/18/2021 09:00 AM: Great Britain @ Silverstone Circuit,"LeClerc, Charles",2,1,"Perez, Sergio",6,16,0,0,27,-1,0,18,0,12,2,0,0,10,0,8,0,4,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,3,12,15,2,-1,17,4,19,5,10,20,13,6,9,11,18,14,16,1,8,52,52,52,51,52,-1,51,52,51,52,52,51,51,52,51,52,51,52,52,0,40
