Date,Type,GP,Circuit,Text Rep,Full Name,Laps,Map Link
"March 20, 2022",Regular,Bahrain,Bahrain International Circuit,03/20/2022: Bahrain @ Bahrain International Circuit,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2022,57,"https://www.google.com/maps/place/Bahrain+International+Circuit/@26.0325699,50.4966281,14.96z/data=!4m5!3m4!1s0x3e484d66f7114f99:0xb08bbfbdc59c2dc!8m2!3d26.0368368!4d50.5107427"
"March 27, 2022",Regular,Saudi Arabia,Jeddah Corniche Circuit,03/27/2022: Saudi Arabia @ Jeddah Corniche Circuit,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2022,50,"https://www.google.com/maps/place/Jeddah+Corniche+Circuit/@21.6317481,39.1025898,17z/data=!3m1!4b1!4m5!3m4!1s0x15c3dbb6d26f1aa3:0xe5ae57c9164742a6!8m2!3d21.6317431!4d39.1047785"
"April 10, 2022",Regular,Australia,Melbourne Grand Prix Circuit,04/10/2022: Australia @ Melbourne Grand Prix Circuit,FORMULA 1 HEINEKEN AUSTRALIAN GRAND PRIX 2022,58,"https://www.google.com/maps/place/Albert+Park+Grand+Prix+Circuit/@-37.8565503,144.9584719,14.67z/data=!4m5!3m4!1s0x6ad6680c4961a545:0xcfde1155b81a8e8!8m2!3d-37.8500625!4d144.9690202"
"April 23, 2022",Sprint,Italy Sprint,Autodromo Enzo E Dino Ferrari,04/23/2022: Italy Sprint @ Autodromo Enzo E Dino Ferrari,FORMULA 1 SPRINT DELL'EMILIA ROMAGNA 2022,21,"https://www.google.com/maps/place/Autodromo+Enzo+e+Dino+Ferrari/@44.3441729,11.7052796,15.25z/data=!4m5!3m4!1s0x132b4a7474d71167:0x81177e3551c217a6!8m2!3d44.3440738!4d11.7143509"
"April 24, 2022",Regular,Italy,Autodromo Enzo E Dino Ferrari,04/24/2022: Italy @ Autodromo Enzo E Dino Ferrari,FORMULA 1 ROLEX GRAN PREMIO DELL'EMILIA ROMAGNA 2022,63,"https://www.google.com/maps/place/Autodromo+Enzo+e+Dino+Ferrari/@44.3441729,11.7052796,15.25z/data=!4m5!3m4!1s0x132b4a7474d71167:0x81177e3551c217a6!8m2!3d44.3440738!4d11.7143509"
"May 8, 2022",Regular,United States,Miami International Autodrome,05/08/2022: United States @ Miami International Autodrome,FORMULA 1 MIAMI GRAND PRIX 2022,57,"https://www.google.com/maps/place/Hard+Rock+Stadium/@25.9541755,-80.2510534,14.67z/data=!4m5!3m4!1s0x88d9af0497b5f3a9:0x5815e194c60bf9db!8m2!3d25.9579665!4d-80.2388604"
"May 22, 2022",Regular,Spain,Circuit de Barcelona-Catalunya,05/22/2022: Spain @ Circuit de Barcelona-Catalunya,FORMULA 1 PIRELLI GRAN PREMIO DE ESPAÑA 2022,66,"https://www.google.com/maps/place/Circuit+de+Barcelona-Catalunya/@41.5636287,2.2493267,14.96z/data=!4m5!3m4!1s0x12a4b8ecc053a0f1:0x150ed08bef7e2b48!8m2!3d41.5684837!4d2.2573012"
"May 29, 2022",Regular,Monaco,Circuit de Monaco,05/29/2022: Monaco @ Circuit de Monaco,FORMULA 1 GRAND PRIX DE MONACO 2022,64,"https://www.google.com/maps/place/Grand+Prix+de+Monaco/@43.7343202,7.42038,16.5z/data=!4m10!1m3!2m2!1sCircuit+de+Monaco!6e1!3m5!1s0x12cdc28cdf90e915:0xfc2bab7831f5c3cb!8m2!3d43.7354846!4d7.4212804!15sChFDaXJjdWl0IGRlIE1vbmFjb5IBDmNhcl9yYWNlX3RyYWNr"
"June 10, 2022",Regular,Azerbaijan,Baku City Circuit,06/10/2022: Azerbaijan @ Baku City Circuit,FORMULA 1 AZERBAIJAN GRAND PRIX 2022,51,"https://www.google.com/maps/place/Baku+City+Circuit/@40.3646958,49.8387707,14.67z/data=!4m5!3m4!1s0x40307db472eb07d1:0x529ac68af9a1cec2!8m2!3d40.3729181!4d49.8531816"
"June 19, 2022",Regular,Canada,Circuit Gilles-Villeneuve,06/19/2022: Canada @ Circuit Gilles-Villeneuve,FORMULA 1 GRAND PRIX DU CANADA 2022,70,"https://www.google.com/maps/place/Circuit+Gilles+Villeneuve/@45.5059553,-73.5271634,16.13z/data=!4m5!3m4!1s0x4cc91ae0e99de82f:0xe0144f3fc885389b!8m2!3d45.5016487!4d-73.5280341"
